YEAR,MONTH,MONTH_NO,BUS_CRIMES,UG-DLR_CRIMES,OG_CRIMES,TL_CRIMES,TFL_RAIL_CRIMES,TOTAL_CRIMES
2009,April,4,2066,1206,31,38,,3341
2009,May,5,2148,1359,20,41,,3568
2009,June,6,2141,1179,35,41,,3396
2009,July,7,2149,1216,32,35,,3432
2009,August,8,1745,1151,37,26,,2959
2009,September,9,1871,1251,39,32,,3193
2009,October,10,2211,1337,54,29,,3631
2009,November,11,2234,1282,52,40,,3608
2009,December,12,1925,1130,35,45,,3135
2010,January,1,1921,1198,42,22,,3183
2010,February,2,2079,1187,29,28,,3323
2010,March,3,2402,1329,44,26,,3801
2010,April,4,1955,1134,39,37,,3165
2010,May,5,1955,1117,43,37,,3152
2010,June,6,2068,1058,45,34,,3205
2010,July,7,2161,1181,70,32,,3444
2010,August,8,1850,1078,55,30,,3013
2010,September,9,1988,1066,56,24,,3134
2010,October,10,2086,1304,80,28,,3498
2010,November,11,2071,1273,72,49,,3465
2010,December,12,1747,983,33,14,,2777
2011,January,1,1979,1104,53,29,,3165
2011,February,2,1968,1125,54,23,,3170
2011,March,3,2126,1260,58,30,,3474
2011,April,4,1768,965,40,46,,2819
2011,May,5,2006,1170,51,37,,3264
2011,June,6,1967,1166,59,34,,3226
2011,July,7,1921,1135,74,38,,3168
2011,August,8,1515,1010,78,35,,2638
2011,September,9,1659,916,109,26,,2710
2011,October,10,1841,1031,64,22,,2958
2011,November,11,1957,987,72,27,,3043
2011,December,12,1650,927,58,33,,2668
2012,January,1,1745,954,55,18,,2772
2012,February,2,1643,1006,71,18,,2738
2012,March,3,1998,1045,82,35,,3160
2012,April,4,1653,934,64,19,,2670
2012,May,5,1823,1100,72,46,,3041
2012,June,6,1688,1047,75,35,,2845
2012,July,7,1822,1205,80,36,,3143
2012,August,8,1591,948,97,31,,2667
2012,September,9,1505,884,99,21,,2509
2012,October,10,1822,1158,93,32,,3105
2012,November,11,1823,1304,100,31,,3258
2012,December,12,1725,1037,72,31,,2865
2013,January,1,1581,1108,76,29,,2794
2013,February,2,1572,999,68,21,,2660
2013,March,3,1644,1221,65,23,,2953
2013,April,4,1578,1018,75,41,,2712
